asin,Review ID,Title,Body,Rating
B08CQ4HXHV,R3T9KV0V3RQHCF,"
Good product
","
Good product and fast delivery
",5.0
B08CQ4HXHV,RR8P75H6BBX6U,"
Great value
","
Great value for the money. Will rip at the top but just clip/bite it off and fish a four inch bait.
",5.0
B08CQ4HXHV,R1RT02NLV4UEUK,"
Read the details
","
The bait was what I wanted but I didn’t read the details for the price I was expecting a bulk package not the same thing I can get at Walmart for half the price
",3.0
B08CQ4HXHV,R3EL8I7VOE54SU,"
They only work wacky rig weighted
","
They won't have action wacky weightless rugged if u use a job book with weight it has a ton so they work weighted!
",3.0
B08CQ4HXHV,R1ZCSI4B3RYE4K,"
My husband uses these daily.
","
They must be good. He catches fish most days and always needs more
",5.0
B08CQ4HXHV,R15G4YOMNXI4LN,"
Good action
","
Couldn't believe this color caught me a nice chunky 3 pounder and another just under 3 pounds
",5.0
B08CQ4HXHV,R2QH1XLYSRMPAK,"
Thumbs up
","
Bass love these baits
",5.0
B08CQ4HXHV,RBRXT4HDLTK2E,"
Tore up the bass
","
Tore up the bass in my pond with these. I just wish they sold them in a larger quantity pack
",5.0
B08CQ4HXHV,R2W7B7H0OUN0OA,"
fish catcher
","
great color, fish like it
",5.0
B08CQ4HXHV,R1QLPX2TMIVFN9,"
5 casts 2 fish
","
I’m just starting out but this color worked great set up on a Texas rig.
",5.0
B08CQ4HXHV,R3UV1EKKVLZDNW,"
Great worms
","
For the money these can't be beat I'd take these over Yamamoto as these hold up after a fish
",5.0
B08CQ4HXHV,R1RQUZJ6VQOA91,"
Awesome !
","
Bass love them!!
",5.0
B08CQ4HXHV,R1M2OVLTEWM5KO,"
Excellent worms
","
Really good worms. Not much to say. Worth the price and catch fish. Excellent for T rigs and wacky rig.
",5.0
B08CQ4HXHV,R39Q3BDVE6DE87,"
Normal yummy worms
","
Great to fish with.
",4.0
B08CQ4HXHV,R3CFY946L9X5T,"
Fish it out!
","
Love fishing!
",5.0
B08CQ4HXHV,RLKBCKBE95PBZ,"
Four Stars
","
Have not caught anything yet but these look great! TY!
",4.0
B08CQ4HXHV,R3E289G43RHL1A,"
They catch fish
","
They don’t tear apart like competitors
",5.0
B08CQ4HXHV,R3PSBKAF4GPAJX,"
Good price
","
Boyfriend liked them
",5.0
B08CQ4HXHV,R1CYOMWH50N928,"
Keep this Lure Handy.
","
Most effective lure I have ever used.  Consistently catches bass.  Don't leave home with out it.  Fish it slow Carolina rigged or just dead stick it.  When it gets beat up use it wacky rigged.
",5.0
B08CQ4HXHV,R1P37ISOANSNR,"
Fish catchers
","
awesome!!
",5.0
B08CQ4HXHV,R36BR02R5H8ICE,"
Haven’t had any luck with them
","
I ended up going back to buying real night crawlers as these never worked, not even nibbles
",1.0
B08CQ4HXHV,R1MMDZPSY0IJF6,"
My best worm
","
Fishing
",5.0
B08CQ4HXHV,R1ADRP0VBGLYXI,"
Bass candy
","
Fall feeding! They destroyed these worms...bass killer.
",5.0
B08CQ4HXHV,RLZMR1647QFT5,"
Bought as gifts
","
Great product and great quality/price
",5.0
B08CQ4HXHV,RCVKQT55N3JRP,"
Perfect for any angler
","
Exactly what we were expecting.
",5.0
B08CQ4HXHV,R1EU8WQPA26WJY,"
Fisherman husband can’t get enough of this product fabulous
","
Fisherman husband can’t get enough of this product fabulous
",5.0
B08CQ4HXHV,RG4M930ZUCPHU,"
Cheap and effective.
","
Awesome.  Way cheaper than Yamamotos.  Been wanting to try these for a long time.
",5.0
B08CQ4HXHV,R33LLVXKYYB3MJ,"
Four Stars
","
Needs to be 1inch longer
",4.0
B08CQ4HXHV,R9ZXU256AHP2R,"
Great looking
","
Haven’t got to use them yet but they look great
",5.0
B08CQ4HXHV,R2DWF441E96T9U,"
Love them
","
Yum products are just such a good deal - they work perfectly and are cost effective.
",5.0
B08CQ4HXHV,R11XO4C9WSTE0P,"
catches em
","
Grandson keeps catching bass. I keep buying these for him.
",5.0
B08CQ4HXHV,R3AZOVG47RWYJP,"
Will buy again
","
Bass love them. Caught a 15 lb large mouth bass on the orange colored worm. Works great.
",5.0
B08CQ4HXHV,R1VIKIQ9ODHMKC,"
Good stuff!
","
Caught with 4in Watermelon/Pearl Yum Dinger. Get some!
",5.0
B08CQ4HXHV,R14P4QFGJ6TOJF,"
Yum dingers for the win
","
Best soft plastics
",5.0
B08CQ4HXHV,R3RFXS7JIOV4WH,"
Best lure for large bass. Must be watermelon color
","
This is all I use now to get large bass at my pond
",5.0
B08CQ4HXHV,R1QTPTF1JI35MK,"
Bass killers
","
Absolutely favorite color for slaying nice slaunch donkeys!
",5.0
B08CQ4HXHV,R2Q6XL1OY5XH7P,"
Just snap the line with your wrist!!
","
Fish catcher!!
",5.0
B08CQ4HXHV,R2XQ8H7EXD3QM1,"
Monsters!
","
Really good to use
",5.0
B08CQ4HXHV,R1WPXUWHUAM3BZ,"
Gets bass
","
Perfect color for muddy water
",5.0
B08CQ4HXHV,R1ER2DY5RKQ951,"
Good value for the price
","
Great durability and good action
",5.0
B08CQ4HXHV,R2DSEQKCZ6S46S,"
Just as expected.
","
Great product. I have used YUM for several years now. This color was a bit hard to find online. Price was OK, but beggars can't be choosers.
",5.0
B08CQ4HXHV,R3AE563KLVJHV8,"
Great for Bass when the bite is slow. Have never been skunked using one of these. Awesome bait.
","
Good Bait
",5.0
B08CQ4HXHV,R27EJ5ECZH7PX2,"
Highly recommend
","
California spotted bass can't resist
",5.0
B08CQ4HXHV,R1MN33MXJXOSLN,"
Not a bad lute
","
Caught a few using this so far
",3.0
